SampleID	FrogSpecies	FrogGenus	FrogFamily	FrogOrder	LifeStage	CaptiveWild	CaptiveWild2	Species_captive_wild	Type_of_captivity	FrogSex	Locality	State	Country	Region	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration.Captivity	CaptivitySubstrateDetailed	GroupedSubstrate	BinarySubstrate	Description
MVB2015-2558	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Subadult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2025	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	FullBody	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2558	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2562	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2026	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2562	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2567	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2027	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2567	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2572	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Female	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2028	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2572	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2576	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Female	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2029	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2576	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2580	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Male	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2030	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2580	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2584	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Male	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2031	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2584	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2589	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Female	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2032	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2589	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2593	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2033	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2593	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
MVB2015-2596	Andrias japonicus	Andrias	Cryptobranchidae	Caudata	Adult	Captive	CaptiveNatural	Andrias japonicus.Captive	unknown	Unknown	Asa.Zoo.Andrias.breeding.center.Hiroshima	NA	Japan	Temperate	NA	NA	Captive	Aquatic	Stream	7.March.2034	March.2015	Unknown	NA	Captive	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-2596	Born in captivity	more than 5 years	Water	Water	Natural Substrate	NA
